space_id,area_code,idle_space_cnt,culture_facility_cnt,welfare_facility_cnt,commercial_area_cnt,total_pop,youth_pop,elder_pop,avg_life_pop,avg_youth_life_pop,avg_elder_life_pop
62,1120067000,0,2,0,4,13692,3875,4694,16838.48209,4666.942083,4550.194019
63,1120069000,0,3,0,4,9508,3245,2733,31833.25966,12292.61124,6464.079516
64,1120072000,0,1,1,2,9116,2802,2872,11632.08121,3299.898569,2811.928669
65,1120079000,0,2,1,3,13040,5559,3335,17361.63927,5215.261929,4262.074845
66,1121571000,0,3,0,7,22755,14713,3306,32163.30188,16395.36874,4748.343569
67,1121573000,0,4,1,5,18459,7410,4814,18383.04552,6393.346532,3878.595296
68,1121574000,0,0,1,4,14865,5620,4108,15384.7996,4152.636989,3776.156418
69,1121575000,0,1,0,4,19752,6575,5672,19031.67614,4992.342903,4733.797534
70,1121576000,0,1,1,3,15164,4849,4806,14652.91831,3553.01666,3801.228616
71,1121577000,0,0,0,5,26759,7470,8946,31442.41994,7128.620914,8586.406478
72,1121578000,1,2,0,2,10811,4499,2499,13253.9229,4395.738965,2601.315679
73,1121581000,0,3,0,3,32964,6818,6518,36045.8104,8508.168871,9049.271687
74,1121582000,0,0,0,4,21509,7637,5759,21958.78086,6513.712392,5144.043347
75,1121583000,0,1,2,5,26401,8312,6801,27175.36791,6656.361774,6605.114395
76,1121584000,0,0,1,2,26669,7096,7130,30175.02631,7754.867668,7306.852487
77,1121584700,0,4,0,6,19835,6847,6050,23082.92498,6795.581472,5465.620665
78,1121585000,0,0,0,5,22856,9089,5373,21066.4826,6626.238965,4687.295517
79,1121586000,1,2,1,2,24857,6563,7236,25101.03083,5808.81629,6409.398669
80,1121587000,0,1,1,5,27511,8164,7000,32697.35786,8707.839651,8004.211821
81,1123051500,0,0,0,0,16375,6588,3609,18911.14921,5163.143824,4823.949375
82,1123053300,0,0,2,0,22573,7625,6316,19442.01253,4470.216089,5182.14246
83,1123053600,0,3,0,12,0,0,0,0,0,0
84,1123054500,0,6,1,17,22291,7385,7521,24690.80202,5978.075524,6093.343958
85,1123056000,1,1,1,8,32262,9411,9113,38583.06265,9781.740981,9727.818394
86,1123057000,0,2,2,1,17349,3987,5693,18572.01793,4221.623085,4823.880202
87,1123060000,0,2,0,5,27251,8425,6545,25960.40475,6382.777742,6022.139234
88,1123061000,0,1,2,6,27346,7362,8828,28807.00166,5909.071129,7735.588871
89,1123065000,0,0,2,4,37034,10594,10768,35304.55372,8258.949906,8903.248038
90,1123066000,0,1,3,6,32786,8382,8585,33323.86675,7480.066512,8005.469321
91,1123070500,0,3,3,4,18005,4130,7774,20906.50302,3817.507386,5433.399483
92,1123071000,0,2,0,4,10102,4866,2065,14614.77741,5817.184308,2787.898206
93,1123072000,0,0,1,5,16660,7093,3502,15247.40581,5268.104012,3156.653918
94,1123073000,0,1,0,1,23607,8622,6110,24135.07302,7819.653669,5285.474106
95,1123074000,1,2,2,3,24539,9948,4905,30581.93897,10823.91931,6277.457466
96,1123075000,0,1,1,1,18061,4588,5712,18183.56772,3835.067964,4665.43246
97,1126052000,0,0,1,4,22978,5882,7947,26259.57396,5623.490181,7633.935766
98,1126054000,0,1,1,1,17509,4361,5915,17260.51496,3423.831176,4755.715202
99,1126055000,0,0,0,2,14058,3520,3958,13074.73828,2629.487702,3490.97713
100,1126056500,0,1,1,5,31605,9513,10203,35145.82403,7900.762097,9755.611613
101,1126057000,0,1,1,3,20530,5584,7031,20698.79449,4063.046216,5651.897648
102,1126057500,0,0,2,6,23476,6387,8249,25106.42658,5400.578737,6838.549953
103,1126058000,0,0,0,3,22807,6164,6904,19886.95092,4392.58463,5137.272856
104,1126059000,0,2,2,5,21225,9477,5141,25860.82293,7986.241915,6012.200544
105,1126060000,0,0,2,2,17881,4935,6029,17792.07803,3797.974845,4480.401378
106,1126061000,0,0,0,10,25489,7285,8713,24395.64345,4988.752103,6645.468522
107,1126062000,0,2,1,4,32991,8822,9592,31824.75989,6954.922218,8119.606781
108,1126063000,0,0,0,2,17626,4812,5861,21225.31957,4634.151586,5930.428891
109,1126065500,0,1,4,4,37916,10496,11418,43263.22067,9421.220188,10920.30583
110,1126066000,0,1,0,3,15196,3652,5721,11202.3545,2114.317621,3469.90871
111,1126068000,1,0,1,6,36607,8272,11711,40128.64331,8063.150867,10716.53931
112,1126069000,0,1,2,1,19022,4614,6522,16335.09153,3235.179106,4103.08168
113,1129052500,0,10,0,7,15470,4853,4478,20879.52533,5294.013992,5358.403427
114,1129055500,0,3,1,5,21619,7046,5946,26314.9179,7438.576243,6545.640155
115,1129057500,0,2,0,4,14743,7040,3068,21068.46467,8736.211337,3925.426626
116,1129058000,0,1,0,0,13729,3501,4533,12707.30219,2658.031398,3403.023522
117,1129059000,0,6,0,0,22878,5212,5884,10543.81911,2171.949227,2703.076848
118,1129060000,1,1,0,7,15447,7988,3141,23692.60185,10313.79137,4592.783394
119,1129061000,0,1,1,1,15748,5140,4017,17610.23321,4618.243777,4560.206317
120,1129062000,0,1,0,2,17566,4366,4791,15873.70449,3349.129093,4161.997695
121,1129063000,2,1,0,3,21668,5637,6909,20639.01606,4379.128562,5394.863253
122,1129064000,2,2,2,4,13795,5009,4329,14536.05419,5233.468683,3124.001774
123,1129065000,0,0,0,4,23513,5727,7568,23289.97354,4869.37832,6491.156983
124,1129066000,0,1,0,3,35437,7249,7165,32868.22483,7380.572386,8019.351532
125,1129068500,0,1,0,3,21362,5253,4827,20577.44704,4637.852466,5321.684079
126,1129070500,0,1,1,6,36798,9853,10634,38208.38674,9481.482675,9584.124194
127,1129071500,1,1,0,4,24661,5644,7341,24865.28384,5408.609785,6552.274489
128,1129072500,1,3,1,3,18338,5878,5514,24679.39312,6374.795101,6076.966902
129,1129076000,1,1,0,4,22700,5828,6766,23165.64495,5020.081048,6313.561263
130,1129077000,0,1,0,5,15649,4502,4987,13836.21833,2994.618233,3600.241371
131,1129078000,0,0,1,1,18641,4992,4272,13461.63792,3099.123474,3256.191687
132,1129081000,0,2,0,10,32797,8849,11103,29468.95397,6671.263938,8160.340948
133,1130553400,0,0,0,4,24459,5848,8199,23809.13935,4886.384355,6544.590081
134,1130553500,0,0,0,4,20202,5976,7129,21106.0037,4956.278501,5649.152164
135,1130554500,0,1,1,5,27370,6907,9296,32174.19463,7105.300699,8641.352298
136,1130555500,0,0,0,6,21936,4962,8695,27445.59138,5290.494751,7579.486028
137,1130557500,0,1,0,2,29987,6305,7402,24771.21333,4782.579724,6496.177796
138,1130559500,0,0,0,5,16040,5012,5100,20603.07491,5031.736001,5658.598105
139,1130560300,0,1,0,2,14328,3108,5877,15870.32888,2836.054019,4144.084765
140,1130560800,0,4,1,1,15610,3060,6546,18120.71825,2977.630921,4744.573683
141,1130561500,1,1,0,7,19298,5098,6892,18063.47402,3926.121962,4836.163071
142,1130562500,0,3,0,5,19954,4572,7634,20153.94363,3730.266478,5538.239281
143,1130563500,0,0,0,8,22375,7146,7366,27082.26986,7280.807554,6945.610766
144,1130564500,0,1,0,6,19349,4298,7311,23968.44823,4467.025437,6651.873421
145,1130566000,0,1,1,8,28020,6312,10686,28506.47358,5351.268125,7604.651089
146,1132051100,0,1,1,2,23378,5813,7429,22665.46883,4821.196089,5971.368038
147,1132051200,0,0,0,2,27480,7064,8987,28055.50037,5748.769241,7594.566734
148,1132051300,0,0,1,2,12742,2739,4660,13301.27528,2431.084805,3823.511761
149,1132051400,0,3,1,2,25942,6817,7519,32180.55908,7135.397224,8713.254348
150,1132051500,0,0,0,4,23284,6240,7442,25361.14952,5683.677655,6745.388931
151,1132052100,0,0,3,4,19440,3786,8614,24937.16088,3879.924543,7057.006741
152,1132052200,0,4,0,3,25554,5618,10004,26795.67719,4801.754792,6924.148434
153,1132066000,0,3,2,6,20482,4916,7290,17981.63033,3649.094422,4729.607419
154,1132067000,0,2,1,2,17333,4112,6225,17158.65999,3511.125175,4534.054106
155,1132068000,0,2,0,4,15949,4393,5392,15273.27041,3518.17297,3901.259409
156,1132068100,0,2,0,1,17657,3916,5594,20639.40085,4066.905894,5278.754664
157,1132069000,0,1,0,5,27628,6280,9688,31254.77341,6160.467876,8897.062554
158,1132070000,0,1,2,4,17645,3670,7009,14511.3177,2404.379435,4196.341835
159,1132071000,0,4,1,2,25385,5234,8765,23961.20902,4350.993226,6265.949294
160,1135056000,0,1,1,5,20078,5962,6212,21396.02589,5964.920739,5173.872171
161,1135057000,0,2,0,1,24822,5184,8954,24948.68908,4775.168071,6682.879241
162,1135058000,0,0,0,0,27839,7176,9244,30891.9067,6269.749946,7796.227823
163,1135059500,0,2,0,6,35191,11254,10494,37723.52483,10090.19959,9018.643871
164,1135060000,0,2,1,3,40695,12105,9503,46463.39517,13389.66495,10775.18378
165,1135061100,0,2,1,2,25422,7073,7421,30442.30388,7642.020343,8036.182547
166,1135061200,0,0,0,0,19608,4652,4998,15692.28792,3288.881478,4267.355659
167,1135061900,0,3,0,2,22233,4342,4405,25536.87329,6647.950652,6521.508226
168,1135062100,0,0,0,0,25977,4384,4464,25051.59582,5645.195074,6289.623844
169,1135062400,0,1,0,3,18600,3854,6036,19221.58302,3792.695954,5295.932735
170,1135062500,0,2,0,3,31490,7217,10931,31948.74274,6501.31457,8228.689422
171,1135063000,0,0,2,3,35997,8443,12269,39232.51492,7776.27791,10650.20423
172,1135064000,0,3,1,3,18580,4808,5926,26575.75632,7450.823972,7053.413911
173,1135066500,1,0,0,3,26613,5531,9510,26496.26624,4798.323448,7506.476505
174,1135067000,0,0,0,4,22152,5097,8031,21441.2764,4302.431801,6376.462809
175,1135069500,0,0,0,2,30309,8488,8165,40055.96625,9898.331069,10513.92565
176,1135070000,0,0,0,0,21239,6890,4636,20520.75716,5062.698441,4514.373468
177,1135071000,0,0,0,1,18959,4817,5615,19838.44361,4349.414731,4969.877755
178,1135072000,0,0,1,1,17737,4936,4628,16335.15974,3981.402581,4282.571552
179,1138051000,0,2,0,5,35103,9500,11172,40115.33469,8653.036129,10399.81437
180,1138052000,0,1,3,5,34424,9349,11196,32727.62834,6657.893831,8468.835995
181,1138053000,0,2,0,6,26181,7283,9426,27953.14231,5961.136694,7198.792204
182,1138055100,0,0,3,4,13993,3965,4625,19465.41546,5063.917675,4720.939845
183,1138055200,0,1,0,6,26779,7202,8291,25191.68751,5930.371606,6750.622399
184,1138056000,0,1,0,4,30648,7511,10056,31871.4291,7037.045665,8516.906694
185,1138057000,0,0,2,7,26990,9865,7805,35266.60506,9339.121888,8523.363602
186,1138058000,0,1,1,6,32004,9140,8394,29783.64669,6871.20869,7595.688898
187,1138059000,0,0,1,2,26878,6158,6156,22864.72266,4621.933831,5395.649462
188,1138060000,0,2,3,5,22889,6219,8397,23155.42091,4868.170645,6058.335524
189,1138062500,0,1,3,3,44528,11735,13969,44960.91747,9844.162702,11669.65415
190,1138063100,0,1,0,3,25725,6932,8225,23892.44548,5277.32043,6270.654772
191,1138063200,0,1,1,3,18759,4849,6146,19178.13192,4014.465786,4770.814617
192,1138064000,0,1,1,5,15257,3996,4497,12844.75882,2842.259751,3549.689375
193,1138065000,0,3,0,2,21143,6146,5143,19645.60501,4407.443044,5418.50502
194,1138069000,0,5,2,2,53836,12729,13745,59964.81321,13890.27101,15387.72728
195,1141052000,0,2,2,2,16323,4160,4950,16034.58761,3333.242782,4278.409644
196,1141055500,0,4,2,4,15106,4570,3590,11906.71702,2707.84125,3207.312231
197,1141056500,0,2,0,6,19224,6019,5292,40329.31411,11448.25274,9728.000625
198,1141058500,0,2,1,10,20222,12207,3021,43470.32201,20747.71133,7340.193159
199,1141061500,1,5,3,12,33123,12556,8596,36303.75116,11113.26767,8013.644402
200,1141062000,0,1,0,5,24281,6405,7413,26731.88431,5684.727177,7095.628112
201,1141064000,0,1,0,4,17290,4441,5724,19151.12472,4083.567124,5022.468233
202,1141065500,0,0,1,0,11949,3121,3992,9926.002702,2163.90213,2628.054261
203,1141066000,1,1,0,3,23241,5930,7443,21387.32618,4333.432789,5783.786828
204,1141068500,1,2,0,4,27231,7462,8121,24653.00755,5610.093743,6629.152305
205,1141069000,0,0,0,2,16716,3625,3546,12864.24519,2799.599382,2886.45838
206,1141070000,0,2,0,4,28483,7662,7254,28523.56569,7115.852473,6559.806116
207,1141071000,0,0,0,2,17276,3852,4745,16310.3158,3257.587171,4292.706176
208,1141072000,0,0,2,4,29682,7934,9867,28603.68491,6283.137728,7506.967776
209,1144055500,0,0,1,4,28994,8613,5818,28885.72849,6858.956848,6868.593266
210,1144056500,0,1,2,7,35929,11918,9496,37850.12415,9205.842265,10119.4309
211,1144058500,0,0,0,3,20222,5997,5694,22661.51034,5662.349886,5932.593864
212,1144059000,1,0,1,4,21114,5243,4574,23396.22509,5182.240914,5828.937164
213,1144060000,1,4,2,5,14212,5981,2927,19815.36741,7176.580746,4064.791653
214,1144061000,0,2,0,2,16820,4817,3164,18783.3413,5499.536754,4220.09334
215,1144063000,1,2,1,4,21906,6612,5113,21248.7246,5354.57297,5324.694852
216,1144065500,1,3,1,7,24288,8598,5297,28808.50972,10254.295,5886.070726
217,1144066000,0,13,0,12,23500,10750,4802,62774.98484,30255.47686,9153.254341
218,1144068000,1,2,0,5,15629,6168,3829,20007.03972,6864.949577,4093.90631
219,1144069000,0,0,0,4,18437,6376,4996,20595.18673,6134.546579,4368.198145
220,1144070000,0,1,0,4,17184,5191,4580,17850.47996,4380.152413,4347.592272
221,1144071000,0,0,0,4,13782,5549,3322,16241.84625,5782.768179,2953.455766
222,1144072000,0,2,0,4,18316,6203,4530,22153.73657,6156.427849,5197.866022
223,1144073000,0,1,0,6,38164,13521,9454,38414.56973,10842.21915,9095.772796
224,1144074000,0,2,1,2,29119,7782,6552,49914.15595,14933.85622,11251.79414
225,1147051000,0,3,1,3,29901,5268,5649,35886.88864,8827.204691,8617.200652
226,1147052000,0,0,0,5,27851,8869,7379,29173.84186,7317.508582,7182.579879
227,1147053000,0,0,3,3,20674,6487,5970,14393.11552,3367.794563,3756.289651
228,1147054000,0,0,1,4,23687,6164,5677,21283.24521,5157.282177,5853.484341
229,1147055000,0,1,2,0,40547,6928,8153,44539.06247,10094.68339,10204.28044
230,1147056000,0,1,0,6,18527,4208,7076,18817.39908,3515.304624,5117.453663
231,1147057000,0,0,1,3,20395,4767,6494,12796.57146,2666.191673,3142.801337
232,1147058000,0,1,1,4,13612,3190,4951,13894.49815,2982.80121,3655.151969
233,1147059000,0,0,0,2,16714,3606,5415,10672.80503,2107.734315,2649.406969
234,1147060000,0,0,0,2,13667,3565,4234,13618.28222,3009.15256,3395.633501
235,1147061000,0,1,1,2,13694,3387,3269,14990.34418,3205.173421,3543.777574
236,1147061100,0,2,1,4,17890,4231,6842,18738.17484,3489.250181,5063.342097
237,1147062000,0,2,0,4,19444,3600,4553,16053.2669,3323.104825,4185.488313
238,1147063000,0,0,0,3,18457,3435,4471,18365.50606,4167.899214,4459.872897
239,1147064000,0,2,0,4,47403,11216,13102,51910.39232,11201.41783,14125.69625
240,1147065000,0,1,0,6,31065,9495,9489,36298.89636,9428.398091,8825.629315
241,1147067000,0,1,1,0,23845,4697,5228,21202.72797,4358.171956,4976.751593
242,1147068000,0,1,1,1,27715,5423,8323,28762.22257,6013.946694,7071.582312
243,1150051000,0,1,0,2,41090,12487,8024,37537.77067,9335.044926,8393.002661
244,1150052000,0,1,1,3,24864,11161,4948,26984.03024,7826.580484,5600.276142
245,1150053000,0,1,0,2,18979,5791,5487,18829.88308,4496.820679,4611.096855
246,1150053500,0,1,3,3,28563,7434,10820,31368.4363,7906.97787,7297.408777
247,1150054000,0,2,1,7,49493,17945,13832,48230.37169,12759.02062,11077.0703
248,1150055000,0,0,0,2,16676,4715,4787,10103.20235,2514.495356,2442.279247
249,1150056000,0,0,1,2,20535,5616,6536,18755.22974,4502.361707,4403.460934
250,1150057000,0,1,0,5,18974,4877,6307,20313.41148,4577.064866,5286.224617
251,1150059000,0,0,2,3,31745,10796,8302,31329.54638,8355.51545,7167.673233
252,1150059100,0,1,2,6,25428,8924,6794,27247.90962,7633.589328,6090.196183
253,1150059300,0,0,0,2,22412,6689,6957,28809.17636,7260.59502,6962.184194
254,1150060300,0,3,1,5,33391,16356,5896,56684.97577,18412.33814,11464.45106
255,1150060400,0,1,0,0,12947,3266,6166,14170.46162,2446.378091,3023.30205
256,1150060500,0,1,0,1,13381,3901,5267,12743.81759,2481.028569,2952.562641
257,1150061100,0,0,0,4,34773,7929,8365,45203.3429,11455.28024,11332.37896
258,1150061500,0,1,0,4,43655,10604,10030,40065.06052,9826.340484,9124.759664
259,1150062000,0,0,2,6,28684,8043,6749,43608.20502,11774.51442,10016.17154
260,1150063000,1,2,1,6,40009,9482,11154,42003.29753,9330.971331,10501.19158
261,1150064000,0,0,2,5,22761,6789,7684,35284.43917,8884.45289,8465.104362
262,1150064100,0,2,0,2,21351,4991,8000,22150.52336,4093.594953,5504.73332
263,1153051000,0,2,0,1,35749,9844,7885,37994.28128,9450.464039,8797.710874
264,1153052000,1,0,0,0,20120,5814,4769,18465.13825,4471.195517,4269.930067
265,1153053000,7,1,0,6,21742,5260,8491,26292.75782,5471.195954,7787.584153
266,1153054000,0,2,0,4,22617,8596,5363,42150.35977,13809.14048,9072.66006
267,1153055000,0,3,0,5,17726,4760,6732,18096.67062,3395.540544,4991.595027
268,1153056000,1,6,0,5,28571,10222,7802,36043.30899,9695.610827,8955.467392
269,1153059500,0,1,0,4,8739,3059,2988,9938.804026,3492.982984,2275.113864
270,1153072000,0,2,0,6,26193,8069,7153,30794.68094,7754.871055,7352.33879
271,1153073000,0,1,0,6,24924,5775,8461,17235.55062,3404.436438,4434.144973
272,1153074000,0,0,0,3,33192,8767,10653,32992.82852,6831.222272,8289.962258
273,1153075000,0,1,0,2,29240,7314,10000,26997.82333,5937.307366,6659.996741
274,1153076000,0,0,0,4,18700,4314,6774,15291.05713,2856.035356,4034.463118
275,1153077000,1,2,0,5,22660,8581,6243,19135.60319,5562.263421,4006.329348
276,1153078000,0,1,0,3,35878,8178,11081,40913.14506,8590.899664,10209.66785
277,1153079000,0,1,1,6,21832,5081,7491,22707.08644,4728.910504,5828.076526
278,1153080000,0,0,0,0,15946,3726,3152,11567.54292,2473.788649,2437.618286
279,1154551000,0,1,0,5,25373,14111,4660,67279.4939,25069.1738,14841.56144
280,1154561000,0,2,6,7,47506,19418,10486,49232.23179,14898.42862,11563.308
281,1154562000,0,0,1,3,17115,4519,6061,13916.63954,3139.772547,3773.860181
282,1154563000,0,0,0,6,22673,6732,7935,17966.52731,4306.08131,4746.516902
283,1154564000,0,1,2,3,13822,3507,5080,14044.6553,2968.808777,4281.760376
284,1154567000,0,2,6,10,31290,8744,10211,29710.64967,7026.119308,7899.973797
285,1154568000,0,0,2,1,19912,4082,6803,18045.13772,3449.663575,4911.509382
286,1154569000,0,0,0,4,9981,2370,3801,12195.98954,2374.439348,3507.564866
287,1154570000,0,0,1,2,18352,4077,7058,18027.37487,3418.523508,5129.652796
288,1154571000,0,5,1,4,17266,3873,6723,14334.14063,2639.533837,4306.517184
289,1156051500,0,2,2,5,20288,5703,6520,17695.06586,4243.74455,4615.620181
290,1156053500,1,4,3,16,31162,17117,5339,50073.28663,17822.2638,10173.09106
291,1156054000,0,1,1,3,34066,8627,9386,105656.1393,33104.84874,23369.08877
292,1156055000,0,0,0,7,21052,8756,5108,26690.07812,7641.172944,6021.149375
293,1156056000,0,0,0,5,36289,14588,7417,40518.81186,12910.29038,8263.355423
294,1156058500,1,1,0,5,17605,5944,5136,19102.45153,4721.757997,4748.25504
295,1156060500,0,4,2,8,31258,8652,6906,44823.56022,11906.73492,10176.44683
296,1156061000,0,0,0,4,18215,7510,3495,22909.00849,6740.607816,4838.723804
297,1156062000,0,0,0,4,22502,9111,4391,27145.75178,7957.651028,6152.611855
298,1156063000,0,0,1,5,18947,7040,5348,19834.65973,5515.56,4637.00668
299,1156065000,0,0,2,3,16010,4305,5023,11873.94742,2961.642083,2883.680578
300,1156066000,0,0,2,2,11828,3072,3774,11683.8271,2823.834899,2772.473978
301,1156067000,0,0,0,3,9547,2211,3121,8047.285672,1658.599052,2088.037527
302,1156068000,0,1,1,8,17754,6229,5041,17081.22424,4631.411082,4020.972278
303,1156069000,0,0,1,1,19394,5449,4257,18684.72262,4464.401163,4358.091465
304,1156070000,0,0,1,6,13204,3401,4803,14427.50431,3107.084718,3918.39457
305,1156071000,0,0,0,6,11436,3588,4023,11991.90957,2991.089819,3197.161042
306,1156072000,0,1,0,5,20805,5610,7334,20588.39226,4315.61002,5855.37205
307,1159051000,0,2,1,6,32742,12321,8886,36011.95231,13078.81921,7351.538327
308,1159052000,1,1,0,3,7782,3144,2411,11537.65742,3631.087251,2606.275887
309,1159053000,1,2,3,7,43752,16128,11185,40738.68919,13654.41548,8978.119099
310,1159054000,1,3,0,4,26876,7891,6696,25657.45421,6502.999375,6204.078199
311,1159055000,0,0,0,2,23377,7687,7088,21028.7424,5381.342493,5181.222413
312,1159056000,1,1,0,4,28787,8919,8378,24468.91232,6185.60998,6184.91203
313,1159060500,0,3,0,5,29846,8302,7815,32763.46724,8801.254113,8158.052151
314,1159062000,0,2,1,5,22140,9786,5744,25879.44618,8538.900202,5272.102621
315,1159063000,0,0,0,3,27677,7671,8411,31527.30075,7119.420168,7634.946196
316,1159064000,0,2,0,2,23093,6324,6960,18721.70905,4088.957513,4471.853555
317,1159065000,0,1,0,3,13534,4530,4159,13079.04531,3356.584335,3037.511122
318,1159065100,0,3,1,2,13791,4390,3715,14401.53962,3320.25789,3386.787352
319,1159066000,0,2,1,5,33698,10322,8131,34388.23506,9466.186015,8125.902473
320,1159067000,0,0,0,3,22775,6369,6225,21799.61108,5466.399207,5499.451035
321,1159068000,0,1,0,3,22054,7599,5143,24886.85749,6735.087177,5711.292997
322,1162052500,0,0,1,3,22968,8170,6793,21114.77669,5952.492164,4859.942903
323,1162054500,0,1,1,1,14276,3917,4158,8589.1708,1552.59828,2193.874335
324,1162056500,0,0,0,2,29674,7615,8409,24220.86931,5215.941828,6316.478958
325,1162057500,1,1,0,4,28418,13431,6502,28993.84628,10698.43774,5426.827534
326,1162058500,0,3,0,1,17524,10055,2898,22832.85052,10313.38716,3675.145786
327,1162059500,0,0,2,6,35843,19182,6925,37234.12888,15407.49955,6537.509644
328,1162060500,0,0,0,4,31396,10007,8882,31685.25615,8455.951304,7574.626163
329,1162061500,0,0,0,2,15167,7844,3417,13668.07865,5249.979395,2358.382332
